seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
3,ryckewaert,chlorophyll,pls,ga,0.8850603273160556,0.027422332231225543,0.7812123699141844,0.10384795740187114,3.1155936761789973,0.3605880878471954,4.285265461327766,0.6475175353441049,1.1696717851487688,0.88629587153913,3.1365787462245525,4.32915427664696,0.10508350162494562
4,ryckewaert,chlorophyll,pls,ga,0.879615234053588,0.02831657794709689,0.7720823696359078,0.10753286441768017,3.1829437346773712,0.314470806608343,4.390270193828378,0.6396975834473738,1.2073264591510071,0.8816993220968121,3.199349571376336,4.430818857803416,0.1096169524609043
5,ryckewaert,chlorophyll,pls,ga,0.884269648542008,0.03071729683996317,0.7966016374339395,0.08766801110806843,3.1163573418648736,0.37453903704719516,4.127366976729313,0.48988510751387426,1.0110096348644393,0.8860472225051097,3.140006420200584,4.155277353292253,0.08944558507117017
6,ryckewaert,chlorophyll,pls,ga,0.883541243602658,0.026624305728556126,0.7984435098469103,0.0850977337557477,3.1367021477298422,0.3351008665933503,4.088626793429784,0.5160055277467537,0.9519246456999415,0.8849621892710949,3.1549202273777346,4.121255098167625,0.08651867942418467
7,ryckewaert,chlorophyll,pls,ga,0.8839189877634176,0.02525970635568916,0.7981146418588686,0.085804345904549,3.1304418675065406,0.2968919589752068,4.084687919916172,0.5412036415425573,0.9542460524096317,0.8857022928609538,3.144755154501614,4.12059443020572,0.08758765100208521
8,ryckewaert,chlorophyll,pls,ga,0.885744384629249,0.029395772960723657,0.7832523141051263,0.10249207052412268,3.0965112065730196,0.35045015051229333,4.265277170640129,0.37192129012647546,1.1687659640671093,0.8876680558114692,3.117595143264941,4.281323157046651,0.10441574170634293
9,ryckewaert,chlorophyll,pls,ga,0.8801141289681457,0.026611369199138306,0.7920386397540203,0.08807548921412534,3.18458856294877,0.33297738116661385,4.167997638473304,0.4817554046554861,0.9834090755245342,0.8814907963109877,3.2021680385362874,4.195064042733015,0.08945215655696737
10,ryckewaert,chlorophyll,pls,ga,0.8841881001706821,0.028081382214207813,0.7532030716697357,0.1309850285009464,3.1235441017146295,0.3503637634316901,4.5693150754472125,0.8380982919748398,1.445770973732583,0.8857826298948018,3.14364977488867,4.636947192890116,0.13257955822506617
11,ryckewaert,chlorophyll,pls,ga,0.8836947907488255,0.025602880323191423,0.7563621145858084,0.12733267616301713,3.1341688159708325,0.29627863810929367,4.512304619171745,0.8557070193933327,1.3781358032009128,0.8853961181744776,3.1489643399065472,4.585220198988806,0.12903400358866923
0,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
1,ryckewaert,chlorophyll,pls,lasso,0.8669085604030415,0.030075997506363743,0.8531390173554021,0.013769543047639443,3.34783521089586,0.29012754915709343,3.5096170391191324,0.36157785252018526,0.16178182822327258,0.8694490788439728,3.3609190221474265,3.5285696293457764,0.016310061488570726
